"Symbol","Date","Expiry","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","15-Feb-2013","28-Mar-2013","5500","422.8","439.8","397.9","435.1","421.1","435.1","665","1968.32","231650","18050","5887.4"
"NIFTY","18-Feb-2013","28-Mar-2013","5500","435","455","424.95","439","440","439","168","499.06","231150","-500","5898.2"
"NIFTY","19-Feb-2013","28-Mar-2013","5500","440","490","425","483.9","487.4","483.9","519","1542.91","247800","16650","5939.7"
"NIFTY","20-Feb-2013","28-Mar-2013","5500","501","501","482","489.55","489.25","489.55","394","1179.79","254850","7050","5943.05"
"NIFTY","21-Feb-2013","28-Mar-2013","5500","453.65","454","388","391.75","392.9","391.75","533","1577.17","263100","8250","5852.25"
"NIFTY","22-Feb-2013","28-Mar-2013","5500","395.5","418","389.25","396.55","392","396.55","323","952.67","275550","12450","5850.3"
"NIFTY","25-Feb-2013","28-Mar-2013","5500","389","415","368","396.8","393","396.8","828","2439.73","298250","22700","5854.75"
"NIFTY","26-Feb-2013","28-Mar-2013","5500","367","368.35","302","308.75","310","308.75","1824","5315.61","335250","37000","5761.35"
"NIFTY","27-Feb-2013","28-Mar-2013","5500","323.75","351","295","332.55","334.85","332.55","1091","3179.96","342000","6750","5796.9"
"NIFTY","28-Feb-2013","28-Mar-2013","5500","372.4","373","234.5","244.6","260.7","244.6","8526","24552.73","697650","355650","5693.05"
"NIFTY","01-Mar-2013","28-Mar-2013","5500","242.35","264.4","224.7","237.5","242","237.5","7250","20813.87","797500","99850","5719.7"
"NIFTY","04-Mar-2013","28-Mar-2013","5500","219.55","234","197","226.7","231","226.7","3828","10937.1","796400","-1100","5698.5"
"NIFTY","05-Mar-2013","28-Mar-2013","5500","241","308","241","303.45","303.4","303.45","6589","19011.14","666650","-129750","5784.25"
"NIFTY","06-Mar-2013","28-Mar-2013","5500","322.65","347","315","341.3","346","341.3","3485","10162.32","599200","-67450","5818.6"
"NIFTY","07-Mar-2013","28-Mar-2013","5500","320.85","401","319","383.3","398.5","383.3","1433","4191.22","577950","-21250","5863.3"
"NIFTY","08-Mar-2013","28-Mar-2013","5500","404.8","475","398","468.25","460.2","468.25","1173","3482.3","565800","-12150","5945.7"
"NIFTY","11-Mar-2013","28-Mar-2013","5500","463.35","485","444.7","451.75","448","451.75","1363","4063.28","537950","-27850","5942.35"
"NIFTY","12-Mar-2013","28-Mar-2013","5500","457","472","418.6","438.5","432","438.5","3142","9355.49","450500","-87450","5914.1"
"NIFTY","13-Mar-2013","28-Mar-2013","5500","404.8","417.35","365.9","374.5","365.9","374.5","1459","4302.58","409200","-41300","5851.2"
"NIFTY","14-Mar-2013","28-Mar-2013","5500","376.35","446.45","320","438.7","438.2","438.7","1810","5321.06","417750","8550","5908.95"
"NIFTY","15-Mar-2013","28-Mar-2013","5500","448.95","461.95","378.7","394.2","395","394.2","1232","3641.76","400300","-17450","5872.6"
"NIFTY","18-Mar-2013","28-Mar-2013","5500","343.65","365.2","337.7","351.3","350","351.3","573","1676.38","393900","-6400","5835.25"
"NIFTY","19-Mar-2013","28-Mar-2013","5500","363.35","364","242.75","256","257.6","256","3385","9821.52","408450","14550","5745.95"
"NIFTY","20-Mar-2013","28-Mar-2013","5500","244","256.3","206","218.5","227","218.5","2900","8303.99","401050","-7400","5694.4"
"NIFTY","21-Mar-2013","28-Mar-2013","5500","230","270","161","169.15","164","169.15","7018","20075.26","428000","26950","5658.75"
"NIFTY","22-Mar-2013","28-Mar-2013","5500","171.25","206","148.35","173","164.55","173","11606","32920.52","413100","-14900","5651.35"
"NIFTY","25-Mar-2013","28-Mar-2013","5500","210","214.65","136.05","144.55","145.05","144.55","11518","32661.94","374900","-38200","5633.85"
"NIFTY","26-Mar-2013","28-Mar-2013","5500","124","156.05","122.15","137.55","133","137.55","20758","58516.58","353350","-21550","5641.6"
"NIFTY","28-Mar-2013","28-Mar-2013","5500","123.6","182.85","101.4","172.95","181.5","0","42468","119454.34","85300","-268050","5682.55"
